,Classifier,Hyperparameters,Train Accuracy,Train Precision,Train Recall,Train F1-score,Test Accuracy,Test Precision,Test Recall,Test F1-score
0,Logistic Regression,"{'clf__solver': 'saga', 'clf__penalty': 'l1', 'clf__C': 10}",0.99975,0.9996936971145642,0.9996791871860774,0.999686393683169,0.9873333333333333,0.9806905640941357,0.957183163826294,0.9683963867211085
1,SVM,"{'clf__kernel': 'linear', 'clf__C': 1}",0.9973333333333333,0.9957552757382048,0.9926260280857863,0.9941790644081797,0.9883333333333333,0.9793418257918053,0.9558029363594315,0.9670437393731849
2,Random Forest,"{'clf__n_estimators': 1000, 'clf__min_samples_split': 10, 'clf__max_depth': 100, 'clf__bootstrap': False}",1.0,1.0,1.0,1.0,0.9833333333333333,0.9847064639033927,0.9179100520839969,0.9460560725743484
3,Born Rule,"{'clf__h': 0.25, 'clf__b': 0.25, 'clf__a': 0.25}",0.9595,0.9755299280252323,0.7614814829460015,0.7879044617151661,0.9423333333333334,0.9625112853938375,0.7098126579235795,0.7170489321876916
