,Classifier,Hyperparameters,Train Accuracy,Train Precision,Train Recall,Train F1-score,Test Accuracy,Test Precision,Test Recall,Test F1-score
0,Logistic Regression,"{'clf__solver': 'saga', 'clf__penalty': 'l2', 'clf__C': 10}",0.5769422310756972,0.5645031064731576,0.4770743225946276,0.46981698297776675,0.536318407960199,0.5313769997702809,0.4440776516933257,0.43095992253178883
1,SVM,"{'clf__kernel': 'linear', 'clf__C': 1}",0.8692729083665338,0.907208333315567,0.8777872264207784,0.8904048560623261,0.6159203980099502,0.609857244160088,0.5762583212326108,0.5841713335396161
2,Random Forest,"{'clf__n_estimators': 100, 'clf__min_samples_split': 10, 'clf__max_depth': 100, 'clf__bootstrap': False}",0.9952689243027888,0.9956441663136424,0.9885290245185241,0.9919074156887467,0.6029850746268657,0.6077076248443289,0.535318718610773,0.544353113326119
3,Born Rule,"{'clf__h': 1.0, 'clf__b': 0.5, 'clf__a': 1.0}",0.5057270916334662,0.5152089388709058,0.4198173314763155,0.3658447152043529,0.472636815920398,0.4640099408070383,0.39203057959729626,0.32551287658244876
